Name,Position,Country,DOB,Team
Peter Beardsley,Second Striker,England,"Jan 18, 1961",First Team
Jesper Olsen,Left Midfield,Denmark,"Mar 20, 1961",First Team
David Wilson,Central Midfield,England,"Mar 20, 1969",First Team/Youth Teams
Kevin Pilkington,Goalkeeper,England,"Mar 8, 1974",First Team/Youth Teams
Ray Wilkins,Central Midfield,England,"Sep 14, 1956",First Team
Simon Davies,Central Midfield,Wales,"Apr 23, 1974",First Team/Youth Teams
John O'Kane,Right-Back,England,"Nov 15, 1974",First Team/Youth Teams
Anto Whelan,Centre-Back,Ireland,"Nov 23, 1959",First Team
William Prunier,Centre-Back,France,"Aug 14, 1967",First Team
Tommy Taylor,Centre-Forward,England,"Jan 29, 1932",First Team
Duncan Edwards,Left Midfield,England,"Oct 1, 1936",First Team/Youth Teams
Johnny Giles,Central Midfield,Ireland,"Nov 6, 1940",First Team/Reserves Team/Youth Teams
Wilf McGuinness,Midfielder,England,"Oct 25, 1937",First Team/Youth Teams
Jonny Rödlund,Central Midfield,Sweden,"Nov 22, 1971",First Team/Youth Teams
Larnell Cole,Right Midfield,England,"Mar 9, 1993",First Team/Reserves Team/Youth Teams
Tom Jones,Left Winger,Wales,"Nov 11, 2005",Youth Teams
Lou Macari,Midfielder,Scotland,"Jun 4, 1949",First Team
Jimmy Nicholl,Right-Back,Northern Ireland,"Feb 28, 1956",First Team/Youth Teams
Jimmy Delaney,Right Winger,Scotland,"Sep 3, 1914",First Team
Pat Dunne,Goalkeeper,Ireland,"Feb 9, 1943",First Team
John Rankin,Central Midfield,Scotland,"Jun 27, 1983",Reserves Team/Youth Teams
Patrick Cregg,Central Midfield,Ireland,"Feb 21, 1986",Youth Teams
Mark Robins,Centre-Forward,England,"Dec 22, 1969",First Team/Youth Teams
Laurie Cunningham,Left Winger,England,"Mar 8, 1956",First Team
Evandro Brandão,Centre-Forward,Angola,"May 7, 1991",Youth Teams
Will Fish,Centre-Back,England,"Feb 17, 2003",First Team/Reserves Team/Youth Teams
James Weir,Central Midfield,England,"Aug 4, 1995",First Team/Reserves Team/Youth Teams
Floribert N'Galula,Defensive Midfield,Belgium,"Mar 7, 1987",First Team/Reserves Team/Youth Teams
Demetri Mitchell,Attacking Midfield,England,"Jan 11, 1997",First Team/Reserves Team/Youth Teams
Luke Daniels,Goalkeeper,England,"Jan 5, 1988",Youth Teams
Danny Galbraith,Defensive Midfield,Scotland,"Aug 19, 1990",Reserves Team/Youth Teams
Josh Pritchard,Defensive Midfield,Wales,"Sep 23, 1992",Youth Teams
Abbe Ibrahim,Centre-Forward,Togo,"Jul 25, 1986",Youth Teams
Neil Wood,Central Midfield,England,"Jan 4, 1983",First Team
Nick Culkin,Goalkeeper,England,"Jul 6, 1978",First Team/Reserves Team/Youth Teams
Paul McGrath,Centre-Back,Ireland,"Dec 4, 1959",First Team
Liam O'Brien,Defensive Midfield,Ireland,"Sep 5, 1964",First Team
Colin McKee,Centre-Forward,Scotland,"Aug 22, 1973",First Team/Reserves Team
Martin Russell,Midfielder,Ireland,"Apr 27, 1967",First Team/Youth Teams
Tommy Hamilton,Striker,Ireland,-,Reserves Team
Radek Vítek,Goalkeeper,Czech Republic,"Oct 24, 2003",First Team/Reserves Team/Youth Teams
Marnick Vermijl,Left-Back,Belgium,"Jan 13, 1992",First Team/Reserves Team/Youth Teams
Ben Williams,Goalkeeper,England,"Aug 27, 1982",First Team/Reserves Team/Youth Teams
Sean Goss,Defensive Midfield,Northern Ireland,"Oct 1, 1995",First Team/Reserves Team/Youth Teams
Grant Brebner,Central Midfield,Scotland,"Dec 6, 1977",First Team/Youth Teams
Liam Grimshaw,Right-Back,England,"Feb 2, 1995",Reserves Team/Youth Teams
Mipo Odubeko,Centre-Forward,Ireland,"Oct 21, 2002",Youth Teams
Owen Dodgson,Left-Back,England,"Mar 19, 2003",Youth Teams
Mark Lynch,Right-Back,England,"Sep 2, 1981",First Team/Youth Teams
Matty Willock,Central Midfield,Montserrat,"Aug 20, 1996",First Team/Reserves Team/Youth Teams
John Cofie,Centre-Forward,England,"Jan 21, 1993",Reserves Team/Youth Teams
Kieran O'Hara,Goalkeeper,Ireland,"Apr 22, 1996",First Team/Reserves Team/Youth Teams
Chris Fagan,Centre-Forward,Ireland,"May 11, 1989",Youth Teams
Kevin Moran,Centre-Back,Ireland,"Apr 29, 1956",First Team
Don Givens,Centre-Forward,Ireland,"Aug 9, 1949",First Team/Youth Teams
Craig Lawton,Central Midfield,Wales,"Jan 5, 1972",First Team
Tony Coton,Goalkeeper,England,"May 19, 1961",First Team
John Pemberton,Centre-Back,England,"Nov 18, 1964",Youth Teams
Alan McDermott,Defender,Ireland,"Jan 22, 1982",Youth Teams
Indy Boonen,Attacking Midfield,Belgium,"Jan 4, 1999",Reserves Team/Youth Teams
Daniel Gore,Central Midfield,England,"Sep 26, 2004",First Team/Reserves Team/Youth Teams
Charni Ekangamene,Defensive Midfield,Belgium,"Feb 16, 1994",Reserves Team/Youth Teams
Dylan Levitt,Central Midfield,Wales,"Nov 17, 2000",First Team/Reserves Team/Youth Teams
Mark Howard,Centre-Back,England,"Jan 29, 1986",Reserves Team/Youth Teams
Josh Harrop,Attacking Midfield,England,"Dec 15, 1995",First Team/Reserves Team/Youth Teams
Jami Puustinen,Centre-Forward,Finland,"Jan 9, 1987",Youth Teams
Michele Fornasier,Centre-Back,Italy,"Aug 22, 1993",Reserves Team/Youth Teams
Daniel Nardiello,Centre-Forward,Wales,"Oct 22, 1982",First Team/Reserves Team/Youth Teams
Mike Pollitt,Goalkeeper,England,"Feb 29, 1972",First Team/Youth Teams
Colin Murdock,Centre-Back,Northern Ireland,"Jul 2, 1975",First Team/Reserves Team/Youth Teams
Phil Mulryne,Central Midfield,Northern Ireland,"Jan 1, 1978",First Team/Youth Teams
David Johnson,Centre-Forward,Jamaica,"Aug 15, 1976",First Team/Youth Teams
David Gray,Right-Back,Scotland,"May 4, 1988",First Team/Reserves Team/Youth Teams
Adam Eckersley,Left-Back,England,"Sep 7, 1985",First Team/Reserves Team/Youth Teams
Tom Sang,Right-Back,England,"Jun 29, 1999",Reserves Team/Youth Teams
Mateo Mejía,Centre-Forward,Colombia,"Mar 31, 2003",Reserves Team/Youth Teams
Matthew Olosunde,Right-Back,United States,"Mar 7, 1998",Reserves Team/Youth Teams
Gyliano van Velzen,Left Winger,Netherlands,"Apr 14, 1994",Reserves Team/Youth Teams
Gary Woods,Goalkeeper,England,"Oct 1, 1990",Youth Teams
Charlie McCann,Defensive Midfield,Northern Ireland,"Apr 24, 2002",Reserves Team/Youth Teams
Deji Sotona,Left Winger,Ireland,"Dec 7, 2002",Reserves Team/Youth Teams
Souleymane Mamam,Defensive Midfield,Togo,"Jun 20, 1985",First Team
Tyler Reid,Right-Back,England,"Sep 2, 1997",Reserves Team/Youth Teams
Michael Mellon,Centre-Forward,Scotland,"Dec 5, 2003",Youth Teams
Noam Emeran,Left Winger,France,"Sep 24, 2002",Reserves Team/Youth Teams
Eddie Johnson,Centre-Forward,England,"Sep 20, 1984",First Team/Youth Teams
Amancio Fortes,Attacking Midfield,Angola,"Apr 18, 1990",Youth Teams
Luke Hendrie,Right-Back,England,"Aug 27, 1994",Reserves Team/Youth Teams
Arthur Gomez,Centre-Forward,The Gambia,"Feb 12, 1984",Reserves Team
Joseph Olowu,Centre-Back,England,"Nov 27, 1999",Reserves Team
Ollie Denham,Centre-Back,Wales,"May 4, 2002",Youth Teams
Tom Thorpe,Centre-Back,England,"Jan 13, 1993",First Team/Reserves Team/Youth Teams
Colin Heath,Centre-Forward,England,"Dec 31, 1983",First Team/Youth Teams
Deniz Mehmet,Goalkeeper,Türkiye,"Sep 19, 1992",Youth Teams
Alan Fettis,Goalkeeper,Northern Ireland,"Feb 1, 1971",Reserves Team
Björn Hardley,Centre-Back,Netherlands,"Dec 19, 2002",First Team/Reserves Team/Youth Teams
Reece Devine,Left-Back,England,"Dec 18, 2001",Reserves Team/Youth Teams
Terry Cooke,Right Winger,England,"Aug 5, 1976",First Team/Youth Teams
Paul Tierney,Left-Back,Ireland,"Sep 15, 1982",First Team/Youth Teams
Mark Redshaw,Second Striker,England,"Sep 25, 1984",Youth Teams
Andreas Pachipis,Defensive Midfield,Cyprus,"Dec 16, 1994",Youth Teams
Aidan Barlow,Left Midfield,England,"Jan 10, 2000",Reserves Team/Youth Teams
Ollie Byrne,Goalkeeper,England,"Dec 31, 1997",Youth Teams
Steven Hogg,Central Midfield,England,"Oct 1, 1985",First Team/Youth Teams
Jayden Reid,Left Winger,England,"Apr 22, 2001",Youth Teams
Joe Dixon,Attacking Midfield,England,"Nov 27, 1989",Youth Teams
Alex Notman,Right Winger,Scotland,"Dec 10, 1979",First Team
Kyle Moran,Centre-Forward,Ireland,"Jun 7, 1987",Youth Teams
Johnny Gorman,Left Winger,Northern Ireland,"Oct 26, 1992",Youth Teams
Harry Allen,Goalkeeper,England,"Nov 1, 2001",Youth Teams
Joe Palmer,Central Midfield,Wales,"Aug 13, 1999",Youth Teams
Max Thompson,Right Winger,England,"Feb 9, 2002",Youth Teams
Arthur Albiston,Left-Back,Scotland,"Jul 14, 1957",First Team/Youth Teams
Frank Stapleton,Centre-Forward,Ireland,"Jul 10, 1956",First Team
Joe Jordan,Centre-Forward,Scotland,"Dec 15, 1951",First Team
Gordon Hill,Left Winger,England,"Apr 1, 1954",First Team
Peter Davenport,Striker,England,"Mar 24, 1961",First Team
Ashley Grimes,Left Midfield,Ireland,"Aug 2, 1957",First Team
Carlo Sartori,Midfielder,Italy,"Feb 10, 1948",First Team/Youth Teams
Andy Ritchie,Centre-Forward,England,"Nov 28, 1960",First Team/Youth Teams
Terry Gibson,Centre-Forward,England,"Dec 23, 1962",First Team
Peter Barnes,Left Midfield,England,"Jun 10, 1957",First Team
Harry Amass,Left-Back,England,"Mar 16, 2007",First Team/Reserves Team/Youth Teams
Stephen Pears,Goalkeeper,England,"Jan 22, 1962",First Team/Youth Teams
Ethan Wheatley,Centre-Forward,England,"Jan 20, 2006",First Team/Reserves Team/Youth Teams
Tyler Fredricson,Centre-Back,England,"Feb 23, 2005",First Team/Reserves Team/Youth Teams
Deiniol Graham,Centre-Forward,Wales,"Oct 4, 1969",First Team/Reserves Team
Chris Casper,Centre-Back,England,"Apr 28, 1975",First Team/Youth Teams
Neil Whitworth,Centre-Back,England,"Apr 12, 1972",First Team
George Nicol,Striker,Scotland,"Dec 14, 1903",First Team
Fred Kennedy,Striker,England,"Oct 23, 1902",First Team
Paddy Sloan,Striker,Ireland,"Apr 30, 1920",First Team/Youth Teams
Peter Bodak,Right Midfield,England,"Aug 12, 1961",First Team
Andy Hill,Right-Back,England,"Jan 20, 1965",First Team/Youth Teams
Fraser Digby,Goalkeeper,England,"Jan 23, 1967",First Team/Youth Teams
Brian Carey,Centre-Back,Ireland,"May 31, 1968",First Team
Jason Lydiate,Defender,England,"Oct 29, 1971",First Team/Youth Teams
Richard Irving,Centre-Forward,England,"Sep 10, 1975",First Team
Ashley Westwood,Centre-Back,England,"Aug 31, 1976",First Team/Youth Teams
Jimmy Davis,Left Winger,England,"Feb 6, 1982",First Team/Youth Teams
Phil Marsh,Centre-Forward,England,"Nov 15, 1986",First Team/Youth Teams
Craig Dean,Left-Back,England,"Jul 1, 1976",Reserves Team/Youth Teams
Rhodri Jones,Midfielder,Wales,"Jan 19, 1982",Youth Teams
Sean Evans,Left Winger,England,"Sep 25, 1987",Reserves Team/Youth Teams
Jason Lampkin,Attacking Midfield,England,"Apr 24, 1992",Youth Teams
Tomos Roberts,Left-Back,Wales,"Sep 23, 1991",Youth Teams
Sam Byrne,Centre-Forward,Ireland,"Jan 23, 1995",Reserves Team/Youth Teams
Ryan McConnell,Left-Back,Ireland,"Oct 3, 1995",Reserves Team/Youth Teams
Stephen Cosgrove,Midfielder,Scotland,"Dec 29, 1980",Reserves Team
Aaron Burns,Centre-Forward,England,"Nov 8, 1987",Reserves Team
Kevin Grogan,Midfielder,Ireland,"Nov 15, 1981",Youth Teams
Reece James,Left-Back,England,"Nov 7, 1993",First Team/Reserves Team
Martin Svidersky,Central Midfield,Slovakia,"Oct 4, 2002",Reserves Team/Youth Teams
Charlie Savage,Central Midfield,Wales,"May 2, 2003",First Team/Reserves Team/Youth Teams
Charlie Scott,Defensive Midfield,England,"Sep 2, 1997",Reserves Team/Youth Teams
Scott Wootton,Centre-Back,England,"Sep 12, 1991",First Team/Reserves Team/Youth Teams
Joe Hugill,Centre-Forward,England,"Oct 19, 2003",First Team/Reserves Team/Youth Teams
Nathan Bishop,Goalkeeper,England,"Oct 15, 1999",First Team/Reserves Team
Ritchie Jones,Central Midfield,England,"Sep 26, 1986",First Team/Reserves Team/Youth Teams
Rhys Bennett,Centre-Back,England,"Oct 30, 2003",First Team/Reserves Team/Youth Teams
Matt Gill,Defensive Midfield,England,"Nov 8, 1980",First Team
Marc Jurado,Right-Back,Spain,"Apr 13, 2004",First Team/Reserves Team/Youth Teams
Johan Guadagno,Goalkeeper,Sweden,"Feb 21, 2003",Youth Teams
Joe Riley,Central Midfield,England,"Dec 6, 1996",First Team/Reserves Team/Youth Teams
Max Haygarth,Left Winger,England,"Jan 21, 2002",Reserves Team/Youth Teams
Raheem Hanley,Left-Back,St. Kitts & Nevis,"Feb 24, 1994",Youth Teams
Oliver Gill,Centre-Back,England,"Sep 15, 1990",First Team/Reserves Team/Youth Teams
Michael Twiss,Right Midfield,England,"Dec 26, 1977",First Team/Reserves Team
Jayce Fitzgerald,Central Midfield,England,"May 9, 2007",First Team/Reserves Team/Youth Teams
Godwill Kukonki,Centre-Back,England,"Feb 6, 2008",First Team/Reserves Team/Youth Teams
Hubert Graczyk,Goalkeeper,Poland,"Feb 28, 2003",First Team/Reserves Team
Dermot Mee,Goalkeeper,Northern Ireland,"Nov 20, 2002",First Team/Reserves Team/Youth Teams
Habeeb Ogunneye,Right-Back,England,"Nov 12, 2005",First Team/Reserves Team/Youth Teams
Jack Moorhouse,Central Midfield,England,"Nov 29, 2005",First Team/Reserves Team/Youth Teams
Jack Fletcher,Attacking Midfield,England,"Mar 19, 2007",First Team/Reserves Team/Youth Teams
Elyh Harrison,Goalkeeper,England,"Feb 19, 2006",First Team/Reserves Team/Youth Teams
Sékou Koné,Defensive Midfield,Mali,"Feb 3, 2006",First Team/Reserves Team/Youth Teams
Michael Appleton,Central Midfield,England,"Dec 4, 1975",First Team/Youth Teams
Pat McGibbon,Centre-Back,Northern Ireland,"Sep 6, 1973",First Team
Zak Dearnley,Centre-Forward,England,"Sep 28, 1998",First Team/Reserves Team/Youth Teams
Louis Jackson,Centre-Back,Scotland,"Sep 18, 2005",First Team/Reserves Team/Youth Teams
Paul Gibson,Goalkeeper,England,"Nov 1, 1976",First Team/Reserves Team
Joe van der Sar,Goalkeeper,Netherlands,"Mar 16, 1998",Youth Teams
Owen Hampson,Central Midfield,Wales,"Nov 17, 2004",Youth Teams
Tommy Rowe,Left Midfield,England,"Sep 24, 1988",Reserves Team
Richie Wellens,Central Midfield,England,"Mar 26, 1980",First Team/Reserves Team/Youth Teams
Nicky Ajose,Centre-Forward,England,"Oct 7, 1991",Reserves Team/Youth Teams
Cameron Stewart,Left Winger,England,"Apr 8, 1991",First Team/Reserves Team/Youth Teams
Aliou Traoré,Central Midfield,France,"Jan 8, 2001",Reserves Team/Youth Teams
Regan Poole,Centre-Back,Wales,"Jun 18, 1998",First Team/Reserves Team
Sam Smith,Centre-Forward,England,"Mar 8, 1998",Youth Teams
Ian Joy,Left-Back,United States,"Jul 14, 1981",Reserves Team
Ethan Hamilton,Central Midfield,Scotland,"Oct 18, 1998",First Team/Reserves Team/Youth Teams
Joe Dudgeon,Left-Back,Northern Ireland,"Nov 26, 1990",First Team/Reserves Team/Youth Teams
D'Mani Mellor,Centre-Forward,England,"Sep 20, 2000",First Team/Reserves Team/Youth Teams
Jack Barmby,Left Midfield,England,"Nov 14, 1994",Reserves Team/Youth Teams
Andy Duncan,Centre-Back,England,"Oct 20, 1977",Reserves Team
John Thorrington,Right Midfield,United States,"Oct 17, 1979",Reserves Team
Sean Ka-Keung Tse,Centre-Back,Hongkong,"May 3, 1992",Youth Teams
Lee O'Connor,Right-Back,Ireland,"Jul 28, 2000",Reserves Team/Youth Teams
Mark Helm,Central Midfield,England,"Oct 21, 2001",Reserves Team/Youth Teams
Harvey Neville,Left-Back,Ireland,"Jun 26, 2002",Reserves Team/Youth Teams
Luke McCullough,Centre-Back,Northern Ireland,"Feb 15, 1994",Reserves Team/Youth Teams
James Tunnicliffe,Centre-Back,England,"Jan 17, 1989",Reserves Team
Sean McGinty,Centre-Back,Ireland,"Aug 11, 1993",Reserves Team/Youth Teams
Sonny Aljofree,Centre-Back,England,"Dec 19, 2004",Reserves Team/Youth Teams
Joshua Bohui,Left Winger,England,"Mar 3, 1999",Reserves Team/Youth Teams
Ro-Shaun Williams,Centre-Back,Grenada,"Sep 3, 1998",First Team/Reserves Team/Youth Teams
Reece Brown,Centre-Back,England,"Nov 1, 1991",First Team/Reserves Team/Youth Teams
Luke Giverin,Left-Back,England,"Feb 4, 1993",Reserves Team/Youth Teams
Laurence Wyke,Centre-Back,England,"Sep 20, 1996",Youth Teams
Sam Hart,Left-Back,England,"Sep 10, 1996",Youth Teams
Daniel Butterworth,Attacking Midfield,England,"Sep 14, 1999",Youth Teams
Tyrell Warren,Right-Back,England,"Oct 5, 1998",Reserves Team/Youth Teams
Kelly Nmai,Left Midfield,Netherlands,"May 1, 2004",Reserves Team
Dion McGhee,Attacking Midfield,England,"Sep 14, 2000",Reserves Team/Youth Teams
Charlie McNeill,Centre-Forward,England,"Sep 9, 2003",First Team/Reserves Team/Youth Teams
DJ Buffonge,Attacking Midfield,Montserrat,"Nov 7, 1998",Reserves Team/Youth Teams
Millen Baars,Left Winger,Netherlands,"May 30, 2000",Reserves Team/Youth Teams
Michael Rose,Defensive Midfield,England,"Jul 28, 1982",Youth Teams
Kris Taylor,Left-Back,England,"Jan 12, 1984",Youth Teams
Chris Curran,Central Midfield,Northern Ireland,"Jan 5, 1991",Youth Teams
Jake Taylor,Central Midfield,England,"Sep 8, 1998",Youth Teams
Ondrej Mastny,Goalkeeper,Czech Republic,"Mar 8, 2002",Reserves Team/Youth Teams
David Poole,Right Winger,England,"Nov 26, 1984",First Team/Youth Teams
Danny Rose,Central Midfield,England,"Feb 21, 1988",Youth Teams
Will Vint,Defensive Midfield,United States,"Oct 12, 2001",Youth Teams
Josh Dolling,Centre-Forward,England,"Dec 29, 1997",Youth Teams
Dillon Hoogewerf,Right Winger,Netherlands,"Feb 27, 2003",Reserves Team/Youth Teams
Connor Stanley,Right Midfield,England,"Dec 30, 2001",Reserves Team/Youth Teams
Idris Kanu,Right Winger,Sierra Leone,"Dec 5, 1999",Youth Teams
Phil Picken,Right-Back,England,"Nov 12, 1985",First Team/Youth Teams
Michael Lea,Left-Back,England,"Nov 4, 1987",First Team/Reserves Team/Youth Teams
Tommy Lee,Goalkeeper,England,"Jan 3, 1986",Reserves Team/Youth Teams
Otis Khan,Left Winger,Pakistan,"Sep 5, 1995",Youth Teams
Andy Kellett,Left-Back,England,"Nov 10, 1993",Reserves Team
Ben Woods,Central Midfield,England,"Sep 27, 2002",Youth Teams
Luca Ercolani,Centre-Back,Italy,"Nov 25, 1999",Reserves Team/Youth Teams
John Cunliffe,Centre-Forward,England,"Aug 8, 1984",Youth Teams
Max Taylor,Centre-Back,England,"Jan 10, 2000",First Team/Reserves Team/Youth Teams
Ilias Moutha-Sebtaoui,Goalkeeper,Belgium,"Apr 1, 1999",Reserves Team/Youth Teams
Kai Corbett,Right Winger,England,"Oct 8, 2002",Youth Teams
Matty Mainwaring,Left Midfield,Ireland,"Mar 28, 1990",Youth Teams
David Mellor,Central Midfield,England,"Jul 10, 1993",Youth Teams
Devonte Redmond,Central Midfield,England,"Sep 19, 1996",Reserves Team/Youth Teams
Ashley Grimes,Second Striker,England,"Dec 9, 1986",Youth Teams
Lewis Thompson,Left-Back,Northern Ireland,"Oct 10, 1999",Youth Teams
Callum Dolan,Attacking Midfield,England,"Sep 29, 2000",Youth Teams
Olamide Ibrahim,Central Midfield,Ireland,"Sep 23, 2003",Youth Teams
Chris Popov,Centre-Forward,Wales,"Oct 26, 2004",Youth Teams
Manni Norkett,Centre-Forward,England,"Oct 30, 2004",Reserves Team/Youth Teams
Ben Hockenhull,Centre-Back,England,"Sep 3, 2001",Reserves Team/Youth Teams
Conor Devlin,Goalkeeper,Northern Ireland,"Sep 23, 1991",First Team/Reserves Team/Youth Teams
Alberto Massacci,Centre-Back,Italy,"May 27, 1993",Reserves Team/Youth Teams
Callum Evans,Defensive Midfield,England,"Oct 11, 1995",Reserves Team/Youth Teams
Tim Merritt,Defensive Midfield,United States,"Jun 25, 1982",Reserves Team
Ruairi Croskery,Centre-Forward,Northern Ireland,"Dec 20, 1996",Reserves Team/Youth Teams
Jean Belehouan,Centre-Back,France,"Sep 1, 2000",Youth Teams
Matteo Vaccarecci,Goalkeeper,Italy,"Jul 2, 1990",Youth Teams
Alex Fojticek,Goalkeeper,Slovakia,"Mar 3, 2000",Reserves Team/Youth Teams
Jacob Carney,Goalkeeper,England,"Apr 21, 2001",Reserves Team/Youth Teams
Max Johnstone,Goalkeeper,England,"Aug 18, 1998",Reserves Team/Youth Teams
Kirk Hilton,Left-Back,England,"Apr 2, 1981",First Team/Youth Teams
Ben Muirhead,Centre-Forward,England,"Jan 5, 1983",First Team/Youth Teams
Danny Whitaker,Central Midfield,England,"Nov 14, 1980",Reserves Team/Youth Teams
Chris McGrail,Centre-Forward,England,"May 5, 1989",Youth Teams
Ramon Calliste,Centre-Forward,Wales,"Dec 16, 1985",Reserves Team/Youth Teams
Mitchell Bryant,Centre-Forward,England,"Dec 22, 1990",Youth Teams
Dean Santangelo,Goalkeeper,Switzerland,"Sep 23, 1993",Reserves Team
Sadiq El Fitouri,Right-Back,Libya,"Oct 10, 1994",Reserves Team
Sam Sharrock-Peplow,Left-Back,England,"Jul 14, 2002",Youth Teams
Macauley Wilson,Right-Back,England,"Sep 2, 1997",Youth Teams
Allenby Chilton,Centre-Back,England,"Sep 16, 1918",First Team
Jack Rowley,Centre-Forward,England,"Oct 7, 1918",First Team
Martin Buchan,Centre-Back,Scotland,"Mar 6, 1949",First Team
Steve Coppell,Right Midfield,England,"Jul 9, 1955",First Team
Sammy McIlroy,Central Midfield,Northern Ireland,"Aug 2, 1954",First Team/Youth Teams
Stan Pearson,Striker,England,"Jan 11, 1919",First Team/Youth Teams
Mike Duxbury,Right-Back,England,"Sep 1, 1959",First Team/Youth Teams
Gary Bailey,Goalkeeper,England,"Aug 9, 1958",First Team
Johnny Carey,Right-Back,Northern Ireland,"Feb 23, 1919",First Team
Dennis Viollet,Centre-Forward,England,"Sep 20, 1933",First Team/Youth Teams
John Aston,Left-Back,England,"Sep 3, 1921",First Team/Reserves Team
Johnny Berry,Right Winger,England,"Jun 1, 1926",First Team
Henry Cockburn,Left Midfield,England,"Sep 14, 1921",First Team/Reserves Team
Harry Gregg,Goalkeeper,Northern Ireland,"Oct 25, 1932",First Team
Norman Whiteside,Attacking Midfield,Northern Ireland,"May 7, 1965",First Team/Reserves Team
Willie Morgan,Right Winger,Scotland,"Oct 2, 1944",First Team
Jack Crompton,Goalkeeper,England,"Dec 18, 1921",First Team
Gordon McQueen,Centre-Back,Scotland,"Jun 26, 1952",First Team
Brian Greenhoff,Defensive Midfield,England,"Apr 28, 1953",First Team/Youth Teams
Ray Wood,Goalkeeper,England,"Jun 11, 1931",First Team
Albert Quixall,Second Striker,England,"Aug 9, 1933",First Team
Stewart Houston,Left-Back,Scotland,"Aug 20, 1948",First Team
Maurice Setters,Right Midfield,England,"Dec 16, 1936",First Team
Remi Moses,Defensive Midfield,England,"Nov 14, 1960",First Team
Charlie Mitten,Left Winger,England,"Jan 17, 1921",First Team/Reserves Team
David Pegg,Left Winger,England,"Sep 20, 1935",First Team/Youth Teams
Noel Cantwell,Left-Back,Ireland,"Feb 28, 1932",First Team
Steve James,Centre-Back,England,"Nov 29, 1949",First Team/Youth Teams
Albert Scanlon,Left Winger,England,"Oct 10, 1935",First Team/Youth Teams
Billy McGlen,Midfielder,England,"Apr 27, 1921",First Team
Johnny Downie,Centre-Forward,Scotland,"Jul 19, 1925",First Team
Don Gibson,Central Midfield,England,"May 12, 1929",First Team/Youth Teams
Stuart Pearson,Centre-Forward,England,"Jun 21, 1949",First Team
Jackie Blanchflower,Defensive Midfield,Northern Ireland,"Mar 7, 1933",First Team/Youth Teams
Mark Jones,Centre-Back,England,"Jun 15, 1933",First Team/Youth Teams
Jimmy Greenhoff,Centre-Forward,England,"Jun 19, 1946",First Team
David Gaskell,Goalkeeper,England,"Oct 5, 1940",First Team/Youth Teams
John Gidman,Right-Back,England,"Jan 10, 1954",First Team
Freddie Goodwin,Central Midfield,England,"Jun 28, 1933",First Team/Reserves Team
Jeff Whitefoot,Central Midfield,England,"Dec 31, 1933",First Team/Youth Teams
Ron Cope,Centre-Back,England,"Oct 5, 1934",First Team/Youth Teams
Jack Warner,Midfielder,Wales,"Sep 21, 1911",First Team
Mickey Thomas,Left Midfield,Wales,"Jul 7, 1954",First Team
David McCreery,Defensive Midfield,Northern Ireland,"Sep 15, 1957",First Team/Youth Teams
Eddie Colman,Central Midfield,England,"Nov 1, 1936",First Team/Youth Teams
Johnny Morris,Centre-Forward,England,"Sep 27, 1923",First Team/Youth Teams
Graeme Hogg,Centre-Back,Scotland,"Jun 17, 1964",First Team
Alex Dawson,Centre-Forward,Scotland,"Feb 21, 1940",First Team/Youth Teams
Liam Whelan,Second Striker,Ireland,"Apr 1, 1935",First Team
Reg Allen,Goalkeeper,England,"May 3, 1919",First Team
Gerry Daly,Attacking Midfield,Ireland,"Apr 30, 1954",First Team
Alan Gowling,Striker,England,"May 16, 1949",First Team/Youth Teams
Mark Pearson,Second Striker,England,"Oct 28, 1939",First Team/Youth Teams
Tony Young,Right-Back,England,"Dec 24, 1952",First Team/Youth Teams
Ian Greaves,Left-Back,England,"May 26, 1932",First Team
Joe Carolan,Left-Back,Ireland,"Sep 8, 1937",First Team
Joe Spence,Striker,England,"Dec 15, 1898",First Team
Colin Webster,Second Striker,Wales,"Jul 17, 1932",First Team
Warren Bradley,Midfielder,England,"Jun 20, 1933",First Team
Chris Turner,Goalkeeper,England,"Sep 15, 1958",First Team
Alex Forsyth,Right-Back,Scotland,"Feb 5, 1952",First Team
Jimmy Nicholson,Attacking Midfield,Northern Ireland,"Feb 23, 1943",First Team/Youth Teams
Tom McNulty,Right-Back,England,"Dec 30, 1929",First Team/Youth Teams
Harry McShane,Left Winger,Scotland,"Apr 8, 1920",First Team
Victor Musa,Centre-Forward,England,"Sep 5, 2006",Reserves Team/Youth Teams
Tommy O'Neil,Right-Back,England,"Oct 25, 1952",First Team/Reserves Team
Paul Edwards,Right-Back,England,"Oct 7, 1947",First Team
Johnny Hanlon,Second Striker,England,"Oct 12, 1917",First Team/Youth Teams
Jim Holton,Centre-Back,Scotland,"Apr 11, 1951",First Team
Jack Silcock,Defender,England,"Jan 15, 1898",First Team
Ian Ure,Centre-Back,Scotland,"Dec 7, 1939",First Team
Alfred Steward,Goalkeeper,England,"Dec 18, 1898",First Team
Ian Moir,Right Winger,Scotland,"Apr 30, 1943",First Team/Youth Teams
Paddy Roche,Goalkeeper,Ireland,"Jan 4, 1951",First Team
Ray Bennion,Midfielder,Wales,"Sep 1, 1896",First Team
James Nolan,Right-Back,England,"Oct 2, 2005",Reserves Team/Youth Teams
James Scanlon,Left Winger,Gibraltar,"Sep 28, 2006",First Team/Reserves Team/Youth Teams
George Graham,Central Midfield,Scotland,"Nov 30, 1944",First Team
